,Player,College_Season,College,College_Games_Played,College_Games_Started,College_Field_Goals_Made_Per_Game,College_Field_Goals_Attempted_Per_Game,College_FG%,College_2PT_Field_Goals_Made_Per_Game,College_2PT_Field_Goals_Attempted_Per_Game,College_2PT_FG%,College_3PT_Field_Goals_Made_Per_Game,College_3PT_Field_Goals_Attempted_Per_Game,College_3PT_FG%,College_Free_Throws_Made_Per_Game,College_Free_Throws_Attempted_Per_Game,College_FT%,Offensive_Rebounds_pergame,Defensive_Rebounds_pergame,Total_Rebounds_pergame,Assists_pergame,Steals_pergame,Blocks_pergame,Turnovers_pergame,Fouls_pergame,Points_pergame,Team_strength_of_schedule
240,Shelden Williams,Career,Duke,139,128,4.9,8.6,.572,4.9,8.6,.574,0.0,0.1,.333,4.0,5.7,.694,3.2,5.9,9.1,0.9,1.2,3.0,2.3,3.1,13.9,9.51
241,Brandon Roy,Career,Washington,103,71,5.2,10.1,.512,4.7,8.6,.541,0.5,1.5,.344,3.5,4.5,.765,1.8,3.2,5.0,3.0,1.0,0.5,2.1,2.1,14.3,6.83
242,Randy Foye,Career,Villanova,131,128,5.2,13.1,.399,3.6,8.1,.441,1.6,4.9,.329,3.0,3.8,.781,1.4,3.4,4.8,3.2,1.5,0.4,2.9,2.7,15.0,8.37
243,Rudy Gay,Career,UConn,64,59,5.0,10.8,.461,4.1,8.5,.483,0.9,2.3,.378,2.8,3.8,.721,1.9,4.0,5.9,1.8,1.3,1.7,2.2,2.3,13.6,7.10
244,Hilton Armstrong,Career,UConn,131,56,1.7,3.1,.563,1.7,3.1,.565,0.0,0.0,.333,1.2,2.1,.578,1.3,2.6,3.9,0.6,0.3,1.5,1.2,2.1,4.7,7.40
245,Ronnie Brewer,Career,Arkansas,90,88,5.5,11.9,.462,4.3,8.5,.511,1.2,3.4,.340,3.6,5.4,.671,1.7,3.4,5.0,3.3,2.4,0.5,2.3,1.7,15.7,5.35
246,Cedric Simmons,Career,NC State,63,33,2.7,4.8,.565,2.7,4.7,.566,0.0,0.1,.500,2.3,3.5,.652,1.3,2.9,4.1,1.1,0.4,1.8,1.3,2.5,7.7,7.39
247,Rodney Carney,Career,Memphis,133,101,5.0,11.9,.415,2.8,6.0,.468,2.2,6.0,.362,2.2,3.1,.717,1.5,3.4,4.9,1.2,1.0,1.0,1.4,2.1,14.3,5.22
248,Shawne Williams,Career,Memphis,36,34,4.3,10.4,.416,3.0,6.1,.489,1.3,4.3,.312,3.2,4.0,.786,1.7,4.4,6.2,1.9,1.4,1.4,2.3,2.9,13.2,4.24
249,Quincy Douby,Career,Rutgers,95,64,6.1,14.1,.432,3.5,7.3,.473,2.6,6.8,.389,2.9,3.6,.820,0.7,2.2,2.9,2.7,1.3,0.7,2.2,1.8,17.8,6.93
250,Renaldo Balkman,Career,South Carolina,104,40,3.0,5.5,.553,2.9,5.0,.581,0.2,0.5,.291,1.2,2.2,.533,2.1,3.2,5.3,1.7,1.2,1.1,1.7,2.1,7.4,7.11
251,Rajon Rondo,Career,Kentucky,68,62,3.7,7.4,.493,3.3,6.0,.544,0.4,1.5,.283,1.9,3.3,.577,0.8,3.7,4.5,4.2,2.3,0.2,2.2,2.0,9.6,8.49
252,Josh Boone,Career,UConn,103,100,3.7,6.4,.578,3.7,6.4,.578,0.0,0.0,,1.9,3.4,.559,3.1,3.8,7.0,0.8,0.5,2.2,1.3,1.9,9.3,7.32
253,Kyle Lowry,Career,Villanova,57,34,3.2,7.1,.449,2.9,6.4,.463,0.2,0.7,.325,2.9,4.0,.737,1.4,2.4,3.8,3.0,1.9,0.2,1.9,2.6,9.5,8.83
254,Shannon Brown,Career,Michigan State,97,89,4.3,9.4,.457,3.2,6.3,.503,1.1,3.1,.364,2.5,3.0,.831,1.0,2.4,3.4,1.9,1.3,0.1,2.0,1.9,12.2,7.69
255,Jordan Farmar,Career,UCLA,66,66,4.4,10.8,.410,3.0,6.4,.463,1.5,4.4,.333,3.0,4.0,.760,0.6,2.4,3.0,5.2,1.2,0.2,3.8,2.1,13.3,7.67
256,Maurice Ager,Career,Michigan State,124,73,4.2,9.6,.441,2.6,5.3,.492,1.6,4.3,.380,2.5,3.2,.775,0.8,2.6,3.4,1.5,0.5,0.3,1.7,1.9,12.5,8.20
257,Mardy Collins,Career,Temple,125,124,5.7,14.4,.399,4.3,9.4,.457,1.5,5.0,.292,2.4,3.9,.624,1.2,3.3,4.6,3.2,2.3,0.2,2.0,2.3,15.4,5.33
258,James White,,Cincinnati,93,85,3.8,8.5,.450,2.8,5.4,.508,1.1,3.1,.347,2.9,3.6,.818,1.1,3.6,4.7,2.8,1.0,0.6,2.2,2.3,11.7,
259,Steve Novak,Career,Marquette,126,89,3.8,8.4,.456,1.0,2.3,.443,2.8,6.1,.461,1.9,2.1,.931,1.0,3.2,4.2,1.0,0.5,0.1,1.1,2.0,12.4,6.06
260,Solomon Jones,Career,South Florida,59,56,3.7,7.3,.505,3.7,7.2,.507,0.0,0.0,.000,2.5,3.6,.693,2.6,5.4,8.0,1.0,0.6,2.6,2.7,3.4,9.8,3.34
261,Paul Davis,Career,Michigan State,130,97,4.7,8.8,.538,4.6,8.4,.549,0.1,0.4,.271,3.7,4.8,.763,2.1,4.9,7.0,1.4,1.1,0.7,2.1,2.6,13.2,8.20
262,Craig Smith,Career,Boston College,130,127,7.1,12.7,.558,7.0,12.2,.572,0.1,0.5,.239,3.8,5.9,.643,3.0,5.6,8.6,1.9,1.3,0.8,2.3,2.9,18.1,6.73
263,David Noel,Career,UNC,127,51,2.7,5.2,.532,2.2,3.7,.600,0.5,1.4,.354,0.9,1.6,.587,1.6,2.7,4.3,1.9,1.1,0.5,1.7,2.0,6.9,10.19
264,Denham Brown,Career,UConn,135,96,3.4,7.9,.429,2.5,5.3,.466,0.9,2.7,.354,1.6,2.1,.776,1.1,2.9,3.9,1.3,0.7,0.2,1.5,1.5,9.4,7.40
265,James Augustine,Career,Illinois,137,134,3.9,6.3,.617,3.9,6.2,.623,0.0,0.1,.333,2.3,3.3,.687,2.6,4.9,7.5,1.1,1.0,1.0,1.5,2.6,10.1,7.15
266,Daniel Gibson,Career,Texas,68,68,4.3,10.5,.411,1.8,3.9,.451,2.6,6.6,.387,2.5,3.4,.741,0.8,2.8,3.6,3.5,1.5,0.3,2.4,2.5,13.8,7.28
267,Alexander Johnson,Career,Florida State,92,73,3.3,6.4,.520,3.2,6.0,.535,0.1,0.4,.308,3.0,4.5,.667,1.7,3.5,5.2,0.7,0.9,0.7,2.6,2.9,9.8,7.38
268,Dee Brown,Career,Jacksonville,108,29,5.4,11.3,.482,4.6,9.1,.510,0.8,2.2,.366,2.3,3.0,.763,,,5.3,3.1,1.9,0.3,2.3,2.2,13.9,1.43
