,Player,College_Season,College,College_Games_Played,College_Games_Started,College_Field_Goals_Made_Per_Game,College_Field_Goals_Attempted_Per_Game,College_FG%,College_2PT_Field_Goals_Made_Per_Game,College_2PT_Field_Goals_Attempted_Per_Game,College_2PT_FG%,College_3PT_Field_Goals_Made_Per_Game,College_3PT_Field_Goals_Attempted_Per_Game,College_3PT_FG%,College_Free_Throws_Made_Per_Game,College_Free_Throws_Attempted_Per_Game,College_FT%,Offensive_Rebounds_pergame,Defensive_Rebounds_pergame,Total_Rebounds_pergame,Assists_pergame,Steals_pergame,Blocks_pergame,Turnovers_pergame,Fouls_pergame,Points_pergame,Team_strength_of_schedule
312,Aaron Gray,Career,Pitt,113,68,3.8,7.0,.550,3.8,7.0,.550,0.0,0.0,,2.1,3.6,.595,2.5,4.5,7.0,1.3,0.4,1.2,1.6,2.1,9.8,6.94
313,JamesOn Curry,Career,Oklahoma State,101,83,4.7,10.7,.437,2.7,5.9,.464,2.0,4.8,.404,2.2,2.9,.758,0.5,2.4,2.9,3.5,1.0,0.2,2.8,2.0,13.5,7.56
314,Taurean Green,Career,Florida,111,79,2.9,7.1,.401,1.2,2.8,.419,1.7,4.3,.389,3.2,3.7,.857,0.3,1.9,2.2,3.6,1.1,0.1,2.5,1.6,10.6,6.65
315,Demetris Nichols,Career,Syracuse,123,93,3.8,9.0,.423,2.2,4.4,.493,1.7,4.7,.358,1.6,2.1,.752,1.2,3.0,4.1,1.1,1.0,0.8,1.5,2.0,10.9,7.27
316,Herbert Hill,Career,Providence,99,63,4.1,6.7,.614,4.1,6.7,.615,0.0,0.0,.000,1.4,2.5,.566,2.1,3.1,5.2,0.9,0.8,1.9,1.6,2.2,9.7,7.86
317,Ramon Sessions,Career,Nevada,97,94,3.2,7.6,.417,2.9,6.7,.430,0.3,0.8,.313,2.2,3.0,.740,1.0,3.2,4.2,4.9,1.2,0.1,2.6,1.3,8.8,2.12
318,Sammy Mejia,Career,DePaul,123,117,4.5,9.8,.457,3.6,7.0,.510,0.9,2.9,.328,2.2,3.4,.659,1.7,3.2,4.8,3.2,1.0,0.2,2.2,2.0,12.1,7.07
319,Derrick Rose,Career,Memphis,40,39,5.2,10.9,.477,4.3,8.3,.521,0.9,2.6,.337,3.7,5.1,.712,1.4,3.2,4.5,4.7,1.2,0.4,2.7,1.7,14.9,5.76
320,Michael Beasley,Career,Kansas State,33,33,9.3,17.5,.532,8.2,14.6,.562,1.1,2.9,.379,6.5,8.5,.774,4.0,8.4,12.4,1.2,1.3,1.6,2.9,2.6,26.2,7.79
321,Russell Westbrook,Career,UCLA,75,35,3.1,6.6,.464,2.6,5.3,.491,0.5,1.3,.354,1.7,2.4,.685,0.9,1.5,2.4,2.5,1.0,0.1,1.6,1.7,8.3,8.77
322,Kevin Love,Career,UCLA,39,38,5.8,10.4,.559,5.1,8.3,.611,0.7,2.1,.354,5.1,6.6,.767,3.6,7.0,10.6,1.9,0.7,1.4,2.0,1.9,17.5,7.71
323,Eric Gordon,Career,Indiana,32,32,5.8,13.3,.433,3.6,6.8,.525,2.2,6.5,.337,7.2,8.7,.834,0.7,2.5,3.3,2.4,1.3,0.6,3.6,2.2,20.9,6.08
324,Joe Alexander,Career,West Virginia,82,70,4.5,10.0,.447,3.9,7.9,.488,0.6,2.1,.295,2.5,3.3,.765,1.5,3.3,4.8,2.0,0.6,1.2,1.8,2.2,12.1,7.04
325,Brook Lopez,Career,Stanford,53,43,6.1,12.7,.480,6.1,12.3,.491,0.1,0.4,.143,3.7,4.9,.764,2.3,4.8,7.1,1.1,0.5,1.9,2.1,2.6,16.0,8.01
326,Jason Thompson,Career,Rider,122,112,6.2,11.8,.526,6.0,11.0,.544,0.2,0.8,.291,4.0,6.0,.667,3.0,6.6,9.6,2.0,0.9,1.9,2.6,3.0,16.7,-3.38
327,Brandon Rush,Career,Kansas,109,101,4.9,10.9,.449,3.0,6.6,.458,1.9,4.3,.435,1.8,2.5,.733,1.5,4.0,5.5,2.0,0.7,0.8,2.1,1.5,13.6,7.56
328,Anthony Randolph,Career,LSU,31,31,5.9,12.7,.464,5.8,12.1,.483,0.1,0.6,.105,3.7,5.4,.693,2.8,5.7,8.5,1.2,1.1,2.3,3.0,2.7,15.6,5.66
329,Robin Lopez,Career,Stanford,67,61,3.5,6.9,.511,3.5,6.9,.511,0.0,0.0,.500,1.9,3.1,.612,2.6,3.1,5.6,0.8,0.3,2.3,1.6,2.5,9.0,8.01
330,Marreese Speights,Career,Florida,69,36,4.0,6.2,.633,4.0,6.2,.633,0.0,0.0,,1.6,2.3,.688,1.9,3.6,5.4,0.5,0.3,0.9,1.1,1.7,9.5,6.16
331,Roy Hibbert,Career,Georgetown,136,121,4.2,7.0,.603,4.2,7.0,.602,0.0,0.0,1.000,2.4,3.5,.680,2.3,3.7,5.9,1.3,0.4,1.9,1.5,2.5,10.9,7.54
332,JaVale McGee,Career,Nevada,66,31,3.5,6.5,.542,3.3,5.9,.563,0.2,0.7,.356,1.4,2.7,.514,1.7,3.0,4.8,0.3,0.5,1.8,1.6,2.0,8.7,0.49
333,Ryan Anderson,Career,California,66,66,6.3,13.1,.484,4.5,8.5,.532,1.8,4.7,.396,4.2,5.0,.841,2.7,6.3,9.0,1.0,0.5,0.5,1.8,2.5,18.7,8.56
334,Courtney Lee,Career,Western Kentucky,127,127,6.3,13.6,.464,4.4,8.8,.498,1.9,4.8,.401,3.1,3.7,.817,1.7,3.5,5.2,2.2,1.9,0.6,2.5,2.5,17.6,-1.08
335,Kosta Koufos,Career,Ohio State,37,35,6.0,11.8,.508,5.4,10.1,.535,0.6,1.7,.349,1.8,2.7,.680,2.6,4.0,6.7,0.5,0.4,1.8,1.5,2.2,14.4,7.97
336,George Hill,Career,IUPUI,95,87,5.6,10.7,.529,4.7,8.3,.565,0.9,2.3,.404,4.8,6.1,.785,1.9,3.8,5.8,3.3,1.6,0.3,2.5,2.8,17.0,-3.27
337,Darrell Arthur,Career,Kansas,78,46,4.7,8.7,.541,4.7,8.5,.552,0.0,0.2,.118,1.8,2.7,.676,2.2,3.3,5.5,0.6,0.7,1.4,1.6,2.8,11.3,7.53
338,Donté Greene,Career,Syracuse,35,35,6.2,14.9,.418,3.7,7.4,.492,2.6,7.5,.345,2.7,3.8,.707,1.7,5.5,7.2,2.0,1.3,1.6,2.6,2.9,17.7,7.96
339,Walter Sharpe,,UAB,12,10,5.7,10.8,.523,5.7,10.6,.535,0.0,0.3,.000,2.8,5.4,.523,1.8,5.0,6.8,1.7,1.2,1.8,2.8,3.0,14.2,
340,Joey Dorsey,Career,Memphis,149,112,2.7,4.4,.614,2.7,4.4,.614,0.0,0.0,,1.3,3.1,.420,3.4,4.7,8.1,0.5,1.1,1.8,1.3,3.1,6.7,4.83
341,Mario Chalmers,Career,Kansas,110,96,4.0,8.3,.486,2.4,4.4,.545,1.6,3.9,.419,2.5,3.2,.767,0.3,2.5,2.8,3.8,2.6,0.4,2.4,2.4,12.2,7.56
342,DeAndre Jordan,Career,Texas A&M,35,21,3.2,5.2,.617,3.2,5.2,.617,0.0,0.0,,1.5,3.4,.437,1.9,4.1,6.0,0.4,0.2,1.3,1.6,1.9,7.9,7.46
343,Kyle Weaver,Career,Washington State,121,103,3.3,7.2,.464,3.0,5.9,.505,0.4,1.3,.277,2.6,3.6,.716,1.3,3.4,4.7,3.8,1.6,0.8,2.6,2.0,9.6,6.88
344,Sonny Weems,Career,Arkansas,69,66,5.2,11.0,.473,3.8,7.3,.527,1.3,3.7,.366,1.6,2.1,.767,1.6,3.0,4.6,2.3,1.3,0.3,2.7,2.0,13.3,7.74
345,Chris Douglas-Roberts,Career,Memphis,109,100,5.1,9.4,.540,4.4,7.6,.579,0.7,1.8,.372,3.3,4.6,.725,1.2,2.4,3.7,1.7,1.0,0.4,2.0,1.9,14.2,4.64
346,Sean Singletary,Career,Virginia,123,123,5.2,12.9,.406,3.4,7.9,.433,1.8,5.0,.362,4.7,5.5,.846,1.0,3.0,4.0,4.8,1.6,0.1,3.3,2.7,16.9,7.98
347,Trent Plaisted,Career,BYU,103,97,5.0,9.3,.535,5.0,9.3,.535,0.0,0.0,,3.4,6.1,.547,2.2,4.4,6.7,1.2,0.4,1.0,2.1,2.9,13.3,3.79
348,Malik Hairston,Career,Oregon,117,115,5.2,10.4,.504,4.0,7.2,.551,1.2,3.1,.395,2.4,3.7,.643,2.0,3.1,5.1,2.1,0.6,0.6,2.0,2.5,14.1,6.87
349,Richard Hendrix,Career,Alabama,95,86,5.5,9.3,.590,5.5,9.2,.596,0.0,0.1,.231,2.9,4.9,.594,3.3,5.6,8.9,1.4,0.9,1.6,1.9,2.8,14.0,6.67
350,DeVon Hardin,Career,California,101,78,2.8,5.3,.517,2.8,5.3,.517,0.0,0.0,,1.9,3.1,.609,1.8,4.6,6.4,0.4,0.4,1.3,1.1,2.7,7.4,7.98
351,Shan Foster,Career,Vanderbilt,132,122,5.3,11.2,.471,2.5,4.6,.543,2.8,6.6,.421,1.9,2.4,.791,1.1,2.9,3.9,1.7,0.8,0.3,1.5,1.6,15.2,7.05
352,Darnell Jackson,Career,Kansas,125,39,2.5,4.3,.580,2.5,4.2,.583,0.0,0.0,.333,1.8,2.6,.685,1.7,3.2,4.9,0.5,0.5,0.4,1.0,1.8,6.8,8.38
353,Maarty Leunen,Career,Oregon,127,91,3.3,6.5,.503,2.3,3.9,.573,1.0,2.6,.397,2.3,3.0,.775,1.8,5.3,7.1,1.8,1.0,0.4,1.3,2.0,9.9,6.87
354,Mike Taylor,Career,Iowa State,31,30,5.3,14.2,.376,2.8,7.3,.391,2.5,6.9,.360,2.8,4.2,.682,0.7,3.4,4.1,4.5,1.1,0.1,5.4,2.9,16.0,5.19
355,Sasha Kaun,Career,Kansas,135,65,2.5,4.3,.568,2.5,4.3,.568,0.0,0.0,,1.2,2.4,.512,1.5,2.3,3.9,0.3,0.4,1.1,0.8,2.3,6.1,8.38
356,James Gist,Career,Maryland,130,89,4.1,8.1,.506,3.9,7.4,.523,0.2,0.7,.330,2.4,3.4,.696,1.8,4.2,6.0,1.1,0.9,1.8,1.8,2.5,10.9,7.37
357,Joe Crawford,Career,Kentucky,127,76,4.0,9.2,.438,2.6,5.0,.512,1.5,4.2,.350,1.8,2.6,.702,1.2,2.2,3.4,1.5,0.5,0.2,1.6,1.9,11.3,8.87
358,Deron Washington,Career,Virginia Tech,128,125,3.9,8.4,.467,3.6,7.1,.498,0.4,1.3,.294,2.8,4.5,.616,1.9,3.5,5.4,1.5,1.2,0.9,1.7,3.1,11.0,6.31
359,Blake Griffin,Career,Oklahoma,68,63,7.1,11.5,.618,7.1,11.4,.622,0.0,0.1,.300,4.5,7.7,.589,3.6,8.3,11.8,2.1,1.1,1.0,2.8,2.5,18.8,7.37
360,Hasheem Thabeet,Career,UConn,100,99,3.6,5.9,.611,3.6,5.9,.611,0.0,0.0,,3.1,5.0,.625,3.0,5.4,8.5,0.4,0.4,4.2,1.8,2.6,10.3,7.14
361,James Harden,Career,Arizona State,69,68,6.0,11.9,.506,4.6,8.0,.570,1.5,3.9,.376,5.4,7.2,.755,1.3,4.1,5.4,3.7,1.9,0.4,3.0,2.5,19.0,7.05
362,Tyreke Evans,Career,Memphis,37,35,6.2,13.6,.455,5.3,10.3,.514,0.9,3.4,.274,3.7,5.2,.711,1.3,4.1,5.4,3.9,2.1,0.8,3.6,2.4,17.1,4.63
363,Jonny Flynn,Career,Syracuse,73,73,5.6,12.2,.460,4.2,8.1,.525,1.4,4.2,.333,4.0,5.1,.782,0.6,2.1,2.7,6.0,1.5,0.2,3.1,1.5,16.6,8.72
364,Stephen Curry,Career,Davidson,104,103,8.4,17.9,.467,4.4,8.3,.530,4.0,9.7,.412,4.6,5.3,.876,0.8,3.8,4.5,3.7,2.1,0.3,3.0,2.4,25.3,-1.31
365,Jordan Hill,Career,Arizona,97,79,5.1,8.8,.578,5.1,8.8,.578,0.0,0.0,,2.3,3.6,.636,2.8,5.1,7.9,0.8,0.5,1.4,2.0,2.7,12.5,9.93
366,DeMar DeRozan,Career,USC,35,35,5.5,10.5,.523,5.3,9.5,.562,0.2,1.0,.167,2.7,4.2,.646,2.4,3.3,5.7,1.5,0.9,0.4,2.1,2.1,13.9,9.15
367,Brandon Jennings,Career,Purdue-Fort Wayne,52,8,1.3,2.8,.448,1.0,2.0,.491,0.3,0.8,.333,0.5,0.7,.771,0.9,1.7,2.6,0.6,0.5,0.0,0.6,1.5,3.3,-0.64
368,Terrence Williams,Career,Louisville,140,127,4.1,10.3,.400,2.7,6.0,.457,1.4,4.4,.320,1.5,2.6,.589,1.5,5.5,6.9,3.9,1.5,0.6,2.4,1.9,11.2,7.65
369,Tyler Hansbrough,Career,UNC,142,141,6.6,12.3,.536,6.5,12.1,.541,0.1,0.3,.316,6.9,8.7,.791,3.4,5.2,8.6,1.1,1.3,0.5,2.1,2.5,20.2,8.39
370,Earl Clark,Career,Louisville,104,63,4.0,8.6,.467,3.5,6.8,.512,0.5,1.8,.298,2.0,3.2,.640,2.1,4.9,7.0,1.7,0.9,1.2,2.1,1.7,10.6,8.03
371,Austin Daye,Career,Gonzaga,67,34,4.1,8.6,.477,3.2,6.4,.495,0.9,2.2,.422,2.5,3.1,.790,0.9,4.9,5.8,1.0,0.7,1.9,1.9,2.6,11.6,2.85
372,James Johnson,Career,Quinnipiac,127,127,4.6,11.9,.385,2.9,7.3,.394,1.7,4.6,.370,2.8,3.5,.792,0.8,2.7,3.5,3.8,1.5,0.1,2.2,2.3,13.6,-7.53
373,Jrue Holiday,Career,UCLA,35,35,3.2,7.1,.450,2.4,4.6,.528,0.8,2.5,.307,1.3,1.8,.726,1.3,2.5,3.8,3.7,1.6,0.5,2.1,2.1,8.5,7.19
374,Ty Lawson,Career,UNC,105,95,4.4,8.5,.517,3.3,5.9,.568,1.1,2.6,.403,3.2,4.1,.780,0.6,2.3,2.9,5.8,1.8,0.1,2.1,2.0,13.1,8.59
375,Eric Maynor,Career,VCU,130,104,5.0,11.2,.449,3.9,8.3,.477,1.1,3.0,.370,3.9,4.9,.791,0.5,2.9,3.4,5.2,1.3,0.2,2.4,2.0,15.0,-0.76
376,Darren Collison,Career,UCLA,142,104,4.0,8.3,.475,2.8,5.7,.494,1.2,2.7,.435,2.5,2.9,.851,0.4,1.8,2.3,4.1,1.6,0.1,2.4,1.4,11.5,8.25
377,Taj Gibson,Career,USC,105,104,4.8,8.2,.580,4.8,8.2,.580,0.0,0.0,,2.9,4.6,.629,2.9,5.6,8.5,1.4,0.7,2.4,2.5,3.1,12.4,8.54
378,DeMarre Carroll,,Missouri,70,68,5.8,10.6,.549,5.6,9.7,.570,0.3,0.9,.311,3.0,4.8,.624,2.6,4.3,6.9,1.8,1.4,0.7,1.5,2.4,14.9,
379,Wayne Ellington,Career,UNC,115,112,5.4,11.6,.463,3.4,6.6,.513,2.0,5.0,.397,2.0,2.5,.809,1.1,3.0,4.1,2.2,0.9,0.1,1.5,1.5,14.7,8.59
380,Toney Douglas,,Florida State,99,95,5.7,12.6,.448,3.9,7.9,.491,1.8,4.8,.376,3.6,4.5,.806,0.8,2.5,3.3,2.9,1.9,0.3,2.6,2.2,16.7,
381,Jermaine Taylor,Career,UCF,122,60,5.8,12.5,.466,3.8,7.0,.536,2.1,5.5,.376,2.5,3.3,.764,1.5,2.3,3.9,1.4,0.9,0.4,2.2,1.7,16.2,0.56
382,Dante Cunningham,Career,Villanova,139,104,3.7,7.1,.524,3.7,7.0,.525,0.0,0.0,.333,2.2,3.2,.693,2.5,3.4,5.9,1.0,1.2,0.8,1.8,2.8,9.6,8.70
383,DaJuan Summers,Career,Georgetown,101,98,3.6,8.3,.439,2.2,4.2,.522,1.4,4.1,.353,2.5,3.4,.727,1.3,3.1,4.4,1.3,1.0,0.6,2.2,2.4,11.2,8.56
384,Sam Young,Career,Pitt,143,78,5.0,10.1,.498,4.2,7.8,.539,0.8,2.3,.356,2.4,3.4,.692,1.8,3.2,5.0,1.0,0.8,0.8,1.9,1.7,13.2,8.00
385,DeJuan Blair,Career,Pitt,72,71,5.5,9.6,.568,5.5,9.6,.568,0.0,0.0,,2.7,4.3,.614,4.7,6.0,10.7,1.1,1.6,1.0,1.6,2.8,13.6,8.23
386,Jon Brockman,Career,Washington,131,129,5.5,10.3,.534,5.5,10.3,.534,0.0,0.0,.000,2.8,4.6,.612,3.7,6.1,9.8,1.0,0.8,0.1,2.1,2.8,13.8,7.16
387,Derrick Brown,Career,Xavier,106,72,3.7,6.5,.573,3.2,5.3,.610,0.5,1.2,.415,2.4,3.3,.718,1.9,3.7,5.6,1.5,0.7,0.8,1.6,2.5,10.3,4.50
388,Jodie Meeks,Career,Kentucky,81,42,4.8,10.9,.436,2.6,5.2,.491,2.2,5.7,.386,3.7,4.1,.890,0.7,2.4,3.0,1.6,1.1,0.1,1.8,1.6,15.4,7.77
389,Patrick Beverley,Career,Arkansas,70,67,4.1,9.7,.420,2.1,4.6,.463,2.0,5.2,.382,2.8,3.9,.730,1.2,4.4,5.5,2.8,1.5,0.4,2.0,2.3,13.0,7.74
390,Chase Budinger,Career,Arizona,100,100,6.0,12.8,.469,4.1,7.8,.524,1.9,5.0,.383,3.1,4.0,.782,1.4,4.4,5.8,2.8,1.3,0.4,2.1,1.8,17.0,9.93
391,Nick Calathes,Career,Florida,72,71,5.3,11.6,.455,3.5,6.8,.507,1.8,4.8,.380,3.9,5.4,.715,1.0,4.3,5.3,6.3,1.8,0.1,3.1,2.0,16.3,4.43
392,Danny Green,Career,UNC,145,39,3.4,7.4,.455,2.1,4.1,.522,1.3,3.4,.375,1.4,1.6,.845,1.4,2.7,4.1,1.8,1.1,1.1,1.4,1.9,9.4,8.39
393,Taylor Griffin,Career,Oklahoma,129,78,2.3,4.9,.468,2.2,4.5,.493,0.1,0.5,.220,1.9,2.6,.721,1.7,3.0,4.8,1.0,0.9,0.8,1.4,2.5,6.6,7.19
394,Goran Suton,Career,Michigan State,134,91,3.3,6.2,.521,3.1,5.8,.536,0.2,0.5,.348,1.4,1.8,.753,2.3,4.3,6.6,1.6,0.8,0.7,1.8,2.4,8.1,8.19
395,Jack McClinton,,Miami (FL),95,83,5.7,13.3,.428,2.7,6.5,.416,3.0,6.8,.440,3.5,3.9,.900,0.5,2.2,2.7,2.5,0.7,0.0,2.5,1.9,17.9,
396,Robert Vaden,,UAB,67,67,6.4,15.8,.402,2.6,5.7,.453,3.8,10.1,.374,2.8,3.4,.810,0.6,3.7,4.2,2.3,1.0,0.4,2.7,1.9,19.3,
397,Lester Hudson,Career,UT-Martin,65,64,9.3,20.4,.456,5.8,10.8,.530,3.5,9.5,.372,4.4,5.2,.858,2.2,5.7,7.9,4.4,2.6,0.6,3.6,2.7,26.6,-5.64
398,Chinemelu Elonu,Career,Texas A&M,90,30,2.0,3.1,.633,2.0,3.1,.633,0.0,0.0,,1.2,2.0,.578,1.6,2.7,4.4,0.2,0.2,0.9,1.1,1.7,5.1,6.24
399,Robert Dozier,Career,Memphis,148,111,3.3,7.1,.466,3.0,6.0,.493,0.3,1.1,.312,2.4,3.4,.692,2.6,3.9,6.5,1.0,1.0,1.5,1.7,2.6,9.3,4.63
400,John Wall,Career,Kentucky,37,37,5.5,11.8,.461,4.5,8.8,.509,1.0,3.1,.325,4.7,6.3,.754,0.8,3.5,4.3,6.5,1.8,0.5,4.0,1.9,16.6,6.82
401,Evan Turner,Career,Ohio State,101,94,5.3,10.6,.502,4.8,9.1,.525,0.5,1.5,.362,3.8,5.0,.758,1.5,5.3,6.8,4.1,1.6,0.7,3.5,2.7,15.0,7.86
402,Derrick Favors,Career,Georgia Tech,36,35,5.0,8.1,.611,5.0,8.1,.613,0.0,0.0,.000,2.5,4.0,.629,3.0,5.4,8.4,1.0,0.9,2.1,2.5,2.6,12.4,9.02
403,Wesley Johnson,Career,Charleston Southern,52,8,0.5,1.0,.529,0.5,1.0,.529,0.0,0.0,,0.6,1.2,.508,0.7,0.8,1.5,0.1,0.2,0.3,0.3,1.4,1.6,-3.91
404,DeMarcus Cousins,Career,Kentucky,38,37,5.4,9.7,.558,5.4,9.6,.565,0.0,0.2,.167,4.3,7.1,.604,4.1,5.8,9.8,1.0,1.0,1.8,2.1,3.2,15.1,6.82
405,Ekpe Udoh,,Baylor,36,36,5.3,10.8,.490,5.1,10.1,.505,0.2,0.7,.269,3.1,4.5,.685,3.6,6.2,9.8,2.7,0.8,3.7,2.4,2.4,13.9,
406,Greg Monroe,Career,Georgetown,65,65,5.3,9.8,.543,5.2,9.3,.558,0.1,0.5,.273,3.7,5.5,.677,2.1,6.1,8.2,3.2,1.5,1.5,2.9,2.5,14.5,9.26
407,Al-Farouq Aminu,Career,Wake Forest,62,60,5.0,10.6,.476,4.6,8.9,.522,0.4,1.7,.238,3.9,5.7,.687,3.3,6.1,9.4,1.4,1.2,1.3,2.9,2.8,14.4,8.10
408,Gordon Hayward,Career,Butler,69,69,4.3,9.2,.470,2.6,4.6,.569,1.7,4.6,.369,4.1,4.9,.824,1.7,5.7,7.4,1.8,1.3,0.9,2.0,2.1,14.4,3.57
409,Paul George,Career,Fresno State,63,63,5.1,11.4,.447,3.1,6.5,.485,1.9,4.9,.396,3.4,4.2,.803,1.9,4.8,6.7,2.4,2.0,0.9,2.7,2.8,15.5,1.13
410,Cole Aldrich,Career,Kansas,111,71,3.5,6.1,.574,3.5,6.1,.574,0.0,0.0,,2.3,3.2,.729,2.3,5.5,7.7,0.6,0.5,2.3,1.2,2.1,9.4,8.12
411,Xavier Henry,Career,Kansas,36,36,4.5,9.8,.458,2.6,5.3,.492,1.9,4.6,.418,2.5,3.2,.783,1.2,3.2,4.4,1.5,1.5,0.5,1.9,1.8,13.4,8.25
412,Ed Davis,Career,UNC,61,25,3.4,6.3,.548,3.4,6.3,.548,0.0,0.0,,2.3,3.7,.623,2.4,5.3,7.7,0.7,0.4,2.1,1.4,1.9,9.2,9.09
413,Patrick Patterson,Career,Kentucky,97,97,6.4,10.9,.585,6.1,10.1,.604,0.2,0.8,.329,3.2,4.3,.734,2.9,5.3,8.2,1.5,0.7,1.6,1.6,2.1,16.1,6.24
414,Larry Sanders,Career,VCU,101,82,4.1,7.9,.520,4.1,7.7,.526,0.0,0.2,.250,2.1,3.6,.577,2.5,5.2,7.7,0.5,0.6,2.7,1.5,3.1,10.3,-0.69
415,Luke Babbitt,Career,Nevada,68,68,6.5,13.6,.480,5.4,11.0,.494,1.1,2.6,.421,5.2,5.8,.893,2.0,6.2,8.1,1.8,0.9,0.8,2.1,2.2,19.4,1.98
416,Eric Bledsoe,Career,Kentucky,37,35,3.9,8.4,.462,2.6,5.0,.516,1.3,3.5,.383,2.2,3.3,.667,0.5,2.6,3.1,2.9,1.4,0.3,3.0,2.2,11.3,6.82
417,Avery Bradley,Career,Texas,34,32,4.7,10.8,.432,3.4,7.5,.457,1.2,3.3,.375,1.1,1.9,.545,1.0,1.9,2.9,2.1,1.3,0.5,1.5,2.4,11.6,7.38
418,James Anderson,Career,BYU,87,1,0.7,1.4,.463,0.7,1.4,.463,0.0,0.0,,0.3,0.7,.390,0.5,0.7,1.3,0.2,0.1,0.4,0.2,1.6,1.6,4.30
419,Craig Brackins,Career,Iowa State,96,95,6.0,13.4,.445,5.2,10.9,.480,0.7,2.5,.292,3.4,4.7,.726,1.7,6.0,7.7,1.6,0.5,1.0,2.0,2.0,16.0,7.34
420,Elliot Williams,,Memphis,34,34,5.2,11.4,.459,3.5,6.6,.527,1.8,4.8,.366,5.7,7.5,.758,0.7,3.2,4.0,3.8,1.3,0.1,2.9,2.0,17.9,
421,Trevor Booker,Career,Clemson,134,134,5.1,9.2,.559,5.0,8.6,.574,0.2,0.5,.324,2.4,3.9,.624,3.0,4.9,7.9,1.7,1.1,1.9,1.9,2.3,12.9,7.85
422,Damion James,Career,Texas,142,140,5.0,10.4,.479,4.2,8.4,.506,0.7,2.0,.364,2.8,4.4,.640,2.9,6.3,9.3,1.1,1.0,1.1,1.8,2.8,13.5,7.54
423,Dominique Jones,Career,South Florida,95,94,6.2,14.1,.442,4.5,8.9,.512,1.7,5.2,.323,4.8,6.5,.737,1.5,3.9,5.4,3.5,1.5,0.4,2.6,2.6,18.9,7.32
424,Quincy Pondexter,Career,Washington,136,102,4.8,9.5,.503,4.4,8.3,.528,0.4,1.2,.327,3.1,4.1,.768,2.4,3.2,5.6,1.7,0.8,0.3,1.9,2.5,13.1,7.55
425,Jordan Crawford,,Xavier,35,34,7.4,16.1,.462,5.2,10.3,.501,2.3,5.8,.391,3.4,4.4,.773,1.0,3.8,4.7,2.9,1.3,0.2,2.4,1.6,20.5,
426,Greivis Vásquez,Career,Maryland,136,123,5.5,13.0,.425,3.8,7.9,.487,1.7,5.1,.329,3.2,3.9,.828,1.0,3.8,4.8,5.7,1.4,0.3,3.3,2.2,16.0,7.95
427,Daniel Orton,Career,Kentucky,38,0,1.3,2.4,.527,1.3,2.3,.539,0.0,0.1,.000,0.9,1.7,.524,1.2,2.1,3.3,0.4,0.6,1.4,1.0,2.3,3.4,6.82
428,Lazar Hayward,Career,Marquette,138,118,4.8,10.7,.452,3.6,7.3,.497,1.2,3.4,.357,2.6,3.3,.789,2.2,4.4,6.6,0.9,1.1,0.3,1.7,2.7,13.5,7.79
429,Dexter Pittman,Career,Texas,134,59,2.5,4.0,.623,2.5,4.0,.623,0.0,0.0,,1.6,2.6,.601,2.0,1.9,3.9,0.3,0.2,0.9,1.1,2.0,6.6,7.54
430,Hassan Whiteside,Career,Marshall,34,23,4.9,9.4,.524,4.8,9.2,.522,0.1,0.1,.600,3.2,5.5,.588,2.7,6.2,8.9,0.3,0.6,5.4,1.9,2.4,13.1,1.57
431,Armon Johnson,Career,Nevada,101,99,5.4,11.6,.467,4.7,9.2,.514,0.7,2.4,.289,2.8,3.7,.750,0.8,2.9,3.7,4.4,0.8,0.2,2.7,1.7,14.3,1.28
432,Terrico White,Career,Ole Miss,66,55,5.3,12.3,.429,3.4,7.0,.491,1.9,5.4,.347,2.0,3.0,.680,1.2,2.8,4.0,1.9,0.8,0.2,1.5,1.8,14.5,5.59
433,Darington Hobson,Career,New Mexico,35,35,5.5,12.5,.440,4.4,9.5,.465,1.1,3.1,.361,3.7,5.7,.653,2.1,7.1,9.3,4.6,1.3,0.4,3.0,1.9,15.9,3.84
434,Andy Rautins,Career,Syracuse,127,65,2.8,7.1,.396,0.6,1.2,.506,2.2,5.9,.374,0.9,1.2,.763,0.4,2.2,2.6,2.7,1.4,0.2,1.7,1.9,8.8,7.83
435,Landry Fields,Career,Stanford,129,65,3.9,8.4,.463,3.1,6.0,.510,0.8,2.3,.342,2.3,3.3,.676,1.6,3.5,5.0,1.6,0.9,0.4,1.5,1.6,10.8,7.35
436,Lance Stephenson,Career,Cincinnati,34,32,4.8,10.8,.440,4.3,8.7,.495,0.5,2.1,.219,2.3,3.5,.664,1.9,3.5,5.4,2.5,0.9,0.2,2.4,1.9,12.3,8.45
437,Jarvis Varnado,Career,Mississippi State,141,119,3.9,6.6,.589,3.9,6.6,.591,0.0,0.0,.250,2.2,3.6,.595,2.5,5.3,7.8,0.6,0.5,4.0,1.4,2.4,10.0,5.47
438,Devin Ebanks,Career,West Virginia,69,65,4.0,8.6,.463,3.9,7.6,.510,0.1,1.0,.114,3.1,4.2,.736,2.8,5.2,7.9,2.6,0.9,0.7,2.1,1.7,11.2,9.30
439,Jerome Jordan,Career,Tulsa,133,119,4.1,7.2,.567,4.1,7.2,.567,0.0,0.0,,3.1,4.5,.696,2.2,5.2,7.4,0.8,0.4,2.5,2.0,2.5,11.3,2.63
