,Player,College_Season,Offensive_Win_Shares,Defensive_Win_Shares,Win_Shares,Win_Shares_Per_40
242,Jordan Hamilton,Career,1.5,1.5,3.3,.096
243,JaJuan Johnson,Career,11.5,11.5,21.8,.226
244,Norris Cole,Career,6.4,6.4,16.9,.165
245,Cory Joseph,Career,2.2,2.2,4.4,.152
246,Jimmy Butler,Career,4.7,4.7,15.9,.203
247,Justin Harper,Career,5.7,5.7,13.8,.176
248,Kyle Singler,Career,12.2,12.2,25.7,.210
249,Shelvin Mack,Career,5.9,5.9,13.8,.164
250,Tyler Honeycutt,Career,3.2,3.2,5.2,.111
251,Jordan Williams,Career,4.4,4.4,9.3,.197
252,Trey Thompkins,Career,4.7,4.7,10.2,.155
253,Chandler Parsons,Career,7.2,7.2,15.5,.157
254,Jon Leuer,Career,5.6,5.6,14.5,.207
255,Darius Morris,Career,2.4,2.4,6.2,.125
256,Malcolm Lee,Career,2.6,2.6,6.8,.107
257,Charles Jenkins,Career,6.2,6.2,20.2,.176
258,Josh Harrellson,Career,3.2,3.2,6.8,.182
259,Andrew Goudelock,Career,3.4,3.4,18.3,.160
260,Travis Leslie,Career,3.5,3.5,9.6,.163
261,Keith Benson,Career,6.9,6.9,19.7,.218
262,Josh Selby,Career,0.9,0.9,1.3,.098
263,Lavoy Allen,Career,9.7,9.7,19.2,.176
264,Vernon Macklin,,2.6,2.6,7.2,.164
265,DeAndre Liggins,Career,3.8,3.8,6.3,.114
266,Isaiah Thomas,Career,4.7,4.7,13.2,.165
267,Anthony Davis,Career,5.3,5.3,9.3,.100
268,Michael Kidd-Gilchrist,Career,2.6,2.6,6.0,.192
269,Bradley Beal,Career,2.1,2.1,5.7,.180
270,Dion Waiters,Career,2.7,2.7,7.1,.198
271,Harrison Barnes,Career,3.8,3.8,9.3,.170
272,Terrence Ross,Career,2.7,2.7,7.4,.176
273,Andre Drummond,Career,1.5,1.5,2.9,.121
274,Austin Rivers,Career,1.0,1.0,3.5,.124
275,Meyers Leonard,Career,2.2,2.2,4.8,.149
276,Jeremy Lamb,Career,2.9,2.9,9.9,.164
277,Kendall Marshall,Career,3.3,3.3,6.9,.132
278,John Henson,Career,6.7,6.7,10.7,.166
279,Maurice Harkless,Career,1.3,1.3,3.2,.109
280,Royce White,Career,2.0,2.0,4.1,.152
281,Tyler Zeller,Career,5.6,5.6,15.5,.231
282,Terrence Jones,Career,5.5,5.5,11.8,.204
283,Andrew Nicholson,Career,5.9,5.9,18.5,.202
284,Jared Sullinger,Career,5.9,5.9,16.2,.282
285,Fab Melo,Career,2.1,2.1,3.7,.135
286,John Jenkins,Career,3.0,3.0,15.5,.206
287,Jared Cunningham,Career,0.5,0.5,1.0,.081
288,Tony Wroten,Career,1.6,1.6,3.2,.120
289,Miles Plumlee,Career,5.0,5.0,9.1,.170
290,Arnett Moultrie,,1.4,1.4,5.0,.186
291,Perry Jones,Career,3.2,3.2,8.2,.162
292,Marquis Teague,Career,1.8,1.8,3.5,.108
293,Festus Ezeli,Career,4.1,4.1,8.5,.157
