,Player,FNAME
0,Kenyon Martin,Kenyon-Martin
1,Stromile Swift,Stromile-Swift
2,Marcus Fizer,Marcus-Fizer
3,Mike Miller,Mike-Miller
4,DerMarr Johnson,DerMarr-Johnson
5,Chris Mihm,Chris-Mihm
6,Jamal Crawford,Jamal-Crawford
7,Joel Przybilla,Joel-Przybilla
8,Keyon Dooling,Keyon-Dooling
9,Jérôme Moïso,Jérôme-Moïso
10,Etan Thomas,Etan-Thomas
11,Courtney Alexander,Courtney-Alexander
12,Mateen Cleaves,Mateen-Cleaves
13,Jason Collier,Jason-Collier
14,Desmond Mason,Desmond-Mason
15,Quentin Richardson,Quentin-Richardson
16,Jamaal Magloire,Jamaal-Magloire
17,Speedy Claxton,Speedy-Claxton
18,Morris Peterson,Morris-Peterson
19,Donnell Harvey,Donnell-Harvey
20,Erick Barkley,Erick-Barkley
21,Mark Madsen,Mark-Madsen
22,Dan Langhi,Dan-Langhi
23,Jake Voskuhl,Jake-Voskuhl
24,Khalid El-Amin,Khalid-El-Amin
25,Mike Smith,Mike-Smith
26,Eddie House,Eddie-House
27,Eduardo Nájera,Eduardo-Nájera
28,Lavor Postell,Lavor-Postell
29,Hanno Möttölä,Hanno-Möttölä
30,Michael Redd,Michael-Redd
31,Brian Cardinal,Brian-Cardinal
32,Jabari Smith,Jabari-Smith
33,Jason Hart,Jason-Hart
34,Kaniel Dickens,Kaniel-Dickens
35,Ernest Brown,Ernest-Brown
36,Dan McClintock,Dan-McClintock
37,Chris Porter,Chris-Porter
38,Jason Richardson,Jason-Richardson
39,Shane Battier,Shane-Battier
40,Eddie Griffin,Eddie-Griffin
41,Rodney White,Rodney-White
42,Joe Johnson,Joe-Johnson
43,Richard Jefferson,Richard-Jefferson
44,Troy Murphy,Troy-Murphy
45,Steven Hunter,Steven-Hunter
46,Kirk Haston,Kirk-Haston
47,Michael Bradley,Michael-Bradley
48,Jason Collins,Jason-Collins
49,Zach Randolph,Zach-Randolph
