,Pk,Player,College,WS/48,draft_class,College_Games_Played,College_Games_Started,College_Field_Goals_Made_Per_Game,College_Field_Goals_Attempted_Per_Game,College_FG%,College_2PT_Field_Goals_Made_Per_Game,College_2PT_Field_Goals_Attempted_Per_Game,College_2PT_FG%,College_3PT_Field_Goals_Made_Per_Game,College_3PT_Field_Goals_Attempted_Per_Game,College_3PT_FG%,College_Free_Throws_Made_Per_Game,College_Free_Throws_Attempted_Per_Game,College_FT%,Total_Rebounds_pergame,Assists_pergame,Steals_pergame,Blocks_pergame,Turnovers_pergame,Fouls_pergame,Points_pergame,Team_strength_of_schedule
11,12,Etan Thomas,Syracuse,0.101,2000.0,122,109.0,4.1,6.8,0.6,4.1,6.8,0.6,0.0,0.0,,2.9,4.8,0.598,6.9,0.4,0.7,3.5,1.7,2.8,11.0,7.19
12,13,Courtney Alexander,Fresno State,0.048,2000.0,59,27.0,8.7,19.1,0.458,6.9,13.5,0.514,1.8,5.6,0.324,3.6,4.7,0.769,4.2,3.0,1.5,0.2,2.4,1.6,22.9,
13,14,Mateen Cleaves,Michigan State,-0.021,2000.0,123,115.0,4.4,10.8,0.406,3.2,7.1,0.454,1.2,3.7,0.313,2.6,3.5,0.738,2.1,6.6,1.6,0.1,3.8,2.2,12.5,9.5
14,15,Jason Collier,Georgia Tech,0.042,2000.0,55,55.0,6.0,13.1,0.458,4.9,10.0,0.488,1.1,3.2,0.362,3.9,5.3,0.728,8.3,1.5,0.7,1.2,3.3,3.0,17.1,
15,17,Desmond Mason,Oklahoma State,0.056,2000.0,129,109.0,4.8,9.8,0.486,3.8,7.1,0.529,1.0,2.7,0.372,2.6,3.6,0.731,6.2,1.1,1.2,0.7,1.7,2.1,13.2,6.04
16,18,Quentin Richardson,DePaul,0.076,2000.0,64,62.0,6.3,14.0,0.454,4.5,9.0,0.5,1.8,5.0,0.369,3.4,4.7,0.728,10.2,1.6,0.9,0.3,2.2,2.3,17.9,7.92
17,19,Jamaal Magloire,Kentucky,0.091,2000.0,145,72.0,2.7,5.4,0.503,2.7,5.4,0.503,0.0,0.0,,1.9,3.0,0.636,5.4,0.4,0.5,1.8,1.7,2.7,7.3,10.46
18,20,Speedy Claxton,Hofstra,0.08,2000.0,119,59.0,5.9,12.6,0.468,5.4,10.9,0.491,0.5,1.7,0.322,4.5,6.1,0.748,4.8,5.5,2.4,0.3,3.1,2.3,16.9,-4.44
19,21,Morris Peterson,Michigan State,0.089,2000.0,137,62.0,4.1,8.5,0.484,3.0,5.6,0.537,1.1,2.8,0.377,2.3,3.1,0.746,4.7,0.9,0.9,0.3,1.5,2.2,11.6,9.41
20,22,Donnell Harvey,Florida,0.069,2000.0,37,9.0,3.9,7.7,0.507,3.9,7.6,0.509,0.0,0.0,0.0,2.3,3.8,0.61,7.0,1.0,0.7,0.8,1.6,2.7,10.1,8.51
21,28,Erick Barkley,St. John's,0.027,2000.0,65,64.0,4.9,12.3,0.396,3.2,7.2,0.444,1.6,5.0,0.328,3.2,4.4,0.727,3.1,4.6,2.6,0.3,2.2,2.4,14.6,8.01
22,29,Mark Madsen,Stanford,0.074,2000.0,108,77.0,4.0,6.8,0.587,4.0,6.7,0.589,0.0,0.0,0.0,3.0,5.0,0.596,7.9,0.6,0.4,0.6,1.3,2.5,10.9,8.7
23,31,Dan Langhi,Vanderbilt,0.012,2000.0,121,61.0,4.0,9.0,0.445,2.9,6.0,0.475,1.1,3.0,0.383,3.3,3.9,0.831,4.6,0.7,0.5,0.2,1.6,1.5,12.4,7.29
24,33,Jake Voskuhl,UConn,0.087,2000.0,138,135.0,2.3,4.3,0.542,2.3,4.3,0.542,0.0,0.0,,1.6,2.4,0.656,6.4,0.9,0.6,1.4,1.6,3.2,6.3,8.09
25,34,Khalid El-Amin,UConn,0.03,2000.0,108,106.0,5.4,12.9,0.416,3.6,7.8,0.456,1.8,5.1,0.355,2.7,3.3,0.822,3.0,4.4,1.7,0.1,2.7,2.1,15.3,8.09
26,35,Mike Smith,Louisiana-Monroe,-0.033,2000.0,55,52.0,6.4,15.0,0.428,4.1,7.5,0.537,2.4,7.4,0.318,4.1,5.3,0.769,8.2,2.7,1.6,0.8,4.4,1.5,19.3,-5.43
27,37,Eddie House,Arizona State,0.077,2000.0,124,114.0,6.2,14.5,0.425,4.1,9.0,0.462,2.0,5.5,0.366,2.2,2.7,0.798,4.0,3.3,2.1,0.2,1.9,2.4,16.5,8.05
28,38,Eduardo Nájera,Oklahoma,0.106,2000.0,126,102.0,4.9,11.3,0.43,4.2,9.0,0.467,0.7,2.3,0.288,2.7,4.0,0.669,7.2,1.7,1.5,0.7,2.0,2.9,13.1,5.2
29,39,Lavor Postell,St. John's,-0.025,2000.0,129,104.0,3.8,8.9,0.43,3.1,6.7,0.464,0.7,2.2,0.326,2.7,3.4,0.789,5.6,1.6,1.0,0.4,1.8,2.3,11.1,7.76
30,40,Hanno Möttölä,Utah,0.019,2000.0,120,87.0,4.5,9.0,0.5,3.9,7.2,0.542,0.6,1.8,0.333,2.9,3.7,0.774,4.6,1.2,0.3,0.4,2.0,2.8,12.4,4.47
31,41,Chris Carrawell,Duke,,2000.0,136,94.0,4.0,8.2,0.486,3.5,6.9,0.509,0.5,1.3,0.36,2.3,3.4,0.667,4.5,2.3,0.8,0.8,1.7,1.5,10.7,9.34
32,43,Michael Redd,Ohio State,0.134,2000.0,96,96.0,7.3,16.3,0.448,6.0,12.2,0.491,1.3,4.1,0.319,3.7,5.7,0.649,6.2,2.5,1.6,0.1,2.7,1.9,19.6,8.26
33,44,Brian Cardinal,Purdue,0.114,2000.0,132,125.0,3.8,8.1,0.461,2.8,5.4,0.508,1.0,2.7,0.365,3.5,4.6,0.761,5.7,2.1,2.0,0.3,1.9,3.1,12.0,10.03
34,45,Jabari Smith,LSU,0.058,2000.0,61,58.0,4.4,8.3,0.532,4.0,7.0,0.579,0.4,1.4,0.298,3.3,5.1,0.639,8.2,2.1,0.9,1.1,3.0,2.6,12.6,5.92
35,48,Mark Karcher,Temple,,2000.0,67,63.0,5.0,13.5,0.373,2.8,6.6,0.426,2.2,6.9,0.322,2.2,3.6,0.613,5.2,2.2,1.6,0.1,1.9,2.4,14.5,7.96
36,49,Jason Hart,Syracuse,0.078,2000.0,132,131.0,4.0,10.1,0.393,2.9,6.9,0.424,1.1,3.2,0.326,2.4,3.3,0.712,3.3,5.4,2.5,0.1,3.3,2.7,11.4,7.19
37,50,Kaniel Dickens,Idaho,0.055,2000.0,55,29.0,3.3,6.9,0.483,3.1,6.3,0.497,0.2,0.7,0.351,2.4,3.8,0.63,5.7,0.6,0.9,0.7,2.0,2.2,9.3,-0.19
38,52,Ernest Brown,Indian Hills Community College,-0.349,2000.0,43,0.0,0.4,0.9,0.45,0.3,0.7,0.484,0.1,0.2,0.333,0.5,0.7,0.688,0.4,0.6,0.2,0.0,0.6,,1.4,6.05
39,53,Dan McClintock,Northern Arizona University,0.007,2000.0,115,32.0,4.7,7.5,0.632,4.7,7.5,0.632,0.0,0.0,0.0,2.4,3.7,0.652,4.2,0.7,0.3,1.7,1.8,2.2,11.9,-2.98
40,54,Cory Hightower,Indian Hills Community College,,2000.0,58,55.0,4.2,9.5,0.44,2.2,4.2,0.51,2.0,5.3,0.384,2.4,3.2,0.729,5.5,2.1,0.9,0.4,2.9,2.4,12.7,
41,55,Chris Porter,Auburn,0.008,2000.0,56,54.0,5.7,12.2,0.467,5.5,11.5,0.477,0.2,0.7,0.308,3.7,5.7,0.651,8.0,1.1,2.1,0.4,2.2,2.6,15.3,6.6
42,56,Jaquay Walls,Colorado,,2000.0,65,60.0,4.3,10.3,0.419,3.0,6.6,0.455,1.3,3.7,0.356,4.3,5.8,0.746,3.2,4.2,1.5,0.2,2.9,2.8,14.3,5.64
43,57,Scoonie Penn,Ohio State,,2000.0,66,66.0,5.3,12.6,0.42,3.0,6.0,0.497,2.3,6.6,0.35,3.4,4.6,0.748,4.1,4.3,2.1,0.1,2.6,2.1,16.3,
44,58,Pete Mickeal,Cincinnati,,2000.0,65,64.0,5.0,9.2,0.545,4.6,8.0,0.573,0.4,1.2,0.355,3.8,5.4,0.711,6.8,1.8,1.5,0.4,2.1,2.5,14.2,8.19
46,5,Jason Richardson,Michigan State,0.097,2001.0,70,35.0,3.7,7.4,0.503,2.9,5.3,0.551,0.8,2.1,0.383,1.4,2.1,0.649,5.0,1.4,0.8,0.5,1.1,1.9,9.6,9.73
47,6,Shane Battier,Duke,0.121,2001.0,146,120.0,4.5,8.9,0.5,2.8,4.9,0.57,1.7,4.1,0.416,3.0,3.8,0.777,6.1,1.6,1.8,1.7,1.1,2.0,13.6,10.07
48,7,Eddie Griffin,Seton Hall,0.078,2001.0,30,30.0,6.9,16.0,0.429,5.5,11.7,0.469,1.4,4.3,0.32,2.7,3.6,0.734,10.8,1.6,0.9,4.4,2.2,2.4,17.8,6.03
49,9,Rodney White,UNC Charlotte,0.026,2001.0,28,26.0,6.7,13.8,0.487,5.5,10.4,0.533,1.2,3.4,0.347,4.1,5.7,0.713,6.5,1.5,1.2,0.7,2.9,2.6,18.7,7.91
50,10,Joe Johnson,Arkansas,0.09,2001.0,53,41.0,5.7,12.2,0.466,4.5,9.3,0.485,1.2,2.9,0.406,2.4,3.2,0.753,6.1,2.4,1.7,0.5,2.5,1.7,15.0,6.96
51,13,Richard Jefferson,Arizona,0.116,2001.0,84,77.0,4.0,8.1,0.49,3.3,6.2,0.528,0.7,1.9,0.368,2.5,3.5,0.718,5.0,2.8,0.6,0.8,2.7,2.6,11.2,10.2
52,14,Troy Murphy,Notre Dame,0.121,2001.0,94,93.0,7.2,14.6,0.496,6.6,12.5,0.522,0.7,2.0,0.335,6.2,8.0,0.777,9.8,1.7,1.2,1.3,3.0,2.9,21.4,6.35
53,15,Steven Hunter,DePaul,0.085,2001.0,63,53.0,4.0,6.8,0.586,4.0,6.8,0.589,0.0,0.0,0.0,1.9,3.2,0.6,4.7,0.4,0.2,2.0,1.6,2.2,9.9,7.92
54,16,Kirk Haston,Indiana,-0.197,2001.0,96,68.0,5.7,12.0,0.473,5.4,11.2,0.48,0.3,0.7,0.366,3.0,4.2,0.717,7.8,1.2,0.8,1.1,2.0,2.7,14.6,10.88
55,17,Michael Bradley,Villanova,0.047,2001.0,31,31.0,8.2,11.8,0.692,7.8,10.7,0.727,0.4,1.1,0.353,4.0,6.8,0.59,9.8,2.6,0.9,1.8,2.8,2.9,20.8,
56,18,Jason Collins,Stanford,0.064,2001.0,73,45.0,3.6,5.9,0.612,3.4,5.5,0.623,0.2,0.4,0.444,3.4,4.8,0.716,6.6,0.8,0.5,1.2,1.5,2.3,10.8,8.87
57,19,Zach Randolph,Michigan State,0.112,2001.0,33,8.0,4.2,7.1,0.587,4.2,7.1,0.59,0.0,0.0,0.0,2.4,3.8,0.635,6.7,1.0,0.7,0.7,1.6,1.8,10.8,9.54
58,20,Brendan Haywood,UNC,0.113,2001.0,141,100.0,3.8,6.0,0.637,3.8,6.0,0.637,0.0,0.0,,2.3,4.0,0.591,6.0,0.8,0.3,2.2,1.6,2.4,10.0,11.05
59,21,Joseph Forte,UNC,-0.166,2001.0,69,66.0,6.9,15.3,0.454,5.3,10.9,0.489,1.6,4.4,0.368,3.2,4.0,0.81,5.8,3.0,1.8,0.4,2.4,2.0,18.7,11.79
60,22,Jeryl Sasser,SMU,0.032,2001.0,117,58.0,5.8,14.6,0.394,4.6,10.6,0.438,1.1,4.1,0.28,4.4,6.2,0.71,8.3,3.2,1.7,0.6,2.8,1.8,17.0,2.17
