,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,FNAME
1325,50,ATL,Skylar Mays,LSU,3.0,67.0,678.0,296.0,79.0,97.0,0.478,0.374,0.894,10.1,4.4,1.2,1.4,1.7,0.123,0.1,0.4,Skylar-Mays
1326,51,GSW,Justinian Jessup,Boise State,,,,,,,,,,,,,,,,,,Justinian-Jessup
1328,53,OKC,Cassius Winston,Michigan State,2.0,29.0,137.0,55.0,10.0,19.0,0.409,0.435,0.9,4.7,1.9,0.3,0.7,0.1,0.051,-4.9,-0.1,Cassius-Winston
1329,54,IND,Cassius Stanley,Duke,2.0,33.0,248.0,88.0,39.0,5.0,0.36,0.233,0.895,7.5,2.7,1.2,0.2,0.0,-0.006,-7.9,-0.4,Cassius-Stanley
1330,55,BRK,Jay Scrubb,John A. Logan College,3.0,24.0,235.0,97.0,36.0,10.0,0.416,0.313,0.765,9.8,4.0,1.5,0.4,-0.1,-0.014,-6.6,-0.3,Jay-Scrubb
1331,56,CHO,Grant Riller,College of Charleston,1.0,7.0,27.0,18.0,1.0,3.0,0.667,0.5,,3.9,2.6,0.1,0.4,0.1,0.177,5.1,0.0,Grant-Riller
1332,57,LAC,Reggie Perry,Mississippi State,2.0,36.0,398.0,170.0,120.0,26.0,0.459,0.189,0.679,11.1,4.7,3.3,0.7,0.4,0.048,-5.5,-0.3,Reggie-Perry
1333,58,PHI,Paul Reed,DePaul,3.0,133.0,1234.0,491.0,415.0,55.0,0.574,0.15,0.658,9.3,3.7,3.1,0.4,4.8,0.185,0.3,0.7,Paul-Reed
1334,59,TOR,Jalen Harris,Nevada,1.0,13.0,172.0,96.0,18.0,17.0,0.5,0.472,0.778,13.2,7.4,1.4,1.3,0.3,0.079,0.3,0.1,Jalen-Harris
1335,60,NOP,Sam Merrill,Utah State University,3.0,41.0,350.0,139.0,46.0,30.0,0.415,0.375,0.8,8.5,3.4,1.1,0.7,0.7,0.1,-1.4,0.1,Sam-Merrill
1338,1,DET,Cade Cunningham,Oklahoma State,2.0,76.0,2488.0,1353.0,428.0,428.0,0.416,0.309,0.844,32.7,17.8,5.6,5.6,-0.6,-0.012,-1.5,0.3,Cade-Cunningham
1340,3,CLE,Evan Mobley,USC,2.0,148.0,5046.0,2311.0,1281.0,398.0,0.533,0.232,0.669,34.1,15.6,8.7,2.7,13.7,0.131,1.2,4.0,Evan-Mobley
1341,4,TOR,Scottie Barnes,Florida State,2.0,151.0,5295.0,2313.0,1069.0,627.0,0.473,0.29,0.755,35.1,15.3,7.1,4.2,11.6,0.106,0.6,3.5,Scottie-Barnes
1342,5,ORL,Jalen Suggs,Gonzaga,2.0,101.0,2553.0,1088.0,332.0,364.0,0.387,0.271,0.752,25.3,10.8,3.3,3.6,-0.3,-0.005,-3.3,-0.9,Jalen-Suggs
1345,8,ORL,Franz Wagner,Michigan,2.0,159.0,5038.0,2682.0,685.0,514.0,0.477,0.358,0.85,31.7,16.9,4.3,3.2,9.4,0.089,-0.4,2.0,Franz-Wagner
1346,9,SAC,Davion Mitchell,Baylor,2.0,155.0,3523.0,1311.0,271.0,498.0,0.429,0.317,0.698,22.7,8.5,1.7,3.2,1.6,0.022,-3.4,-1.2,Davion-Mitchell
1347,10,NOP,Ziaire Williams,Stanford,2.0,99.0,1907.0,711.0,208.0,100.0,0.444,0.298,0.779,19.3,7.2,2.1,1.0,2.4,0.06,-3.8,-0.8,Ziaire-Williams
1348,11,CHO,James Bouknight,UConn,2.0,65.0,819.0,333.0,124.0,67.0,0.353,0.316,0.77,12.6,5.1,1.9,1.0,-0.4,-0.025,-6.7,-1.0,James-Bouknight
1349,12,SAS,Joshua Primo,Alabama,2.0,54.0,1058.0,316.0,126.0,99.0,0.372,0.302,0.75,19.6,5.9,2.3,1.8,-0.1,-0.006,-5.1,-0.8,Joshua-Primo
1350,13,IND,Chris Duarte,Oregon,2.0,101.0,2438.0,1082.0,341.0,178.0,0.41,0.347,0.821,24.1,10.7,3.4,1.8,0.9,0.017,-3.1,-0.7,Chris-Duarte
1351,14,GSW,Moses Moody,Arkansas,2.0,115.0,1424.0,530.0,185.0,74.0,0.459,0.363,0.73,12.4,4.6,1.6,0.6,2.6,0.087,-2.6,-0.2,Moses-Moody
1352,15,WAS,Corey Kispert,Gonzaga,2.0,151.0,3894.0,1454.0,416.0,172.0,0.478,0.391,0.86,25.8,9.6,2.8,1.1,6.1,0.075,-1.9,0.1,Corey-Kispert
1354,17,MEM,Trey Murphy III,Virginia,2.0,141.0,3312.0,1482.0,428.0,150.0,0.461,0.4,0.9,23.5,10.5,3.0,1.1,9.5,0.138,1.0,2.5,Trey-Murphy III
1355,18,OKC,Tre Mann,Florida,2.0,127.0,2550.0,1142.0,326.0,211.0,0.393,0.338,0.781,20.1,9.0,2.6,1.7,0.6,0.011,-4.2,-1.4,Tre-Mann
1356,19,NYK,Kai Jones,Texas,2.0,67.0,613.0,179.0,134.0,19.0,0.567,0.238,0.647,9.1,2.7,2.0,0.3,0.7,0.056,-4.3,-0.4,Kai-Jones
1357,20,ATL,Jalen Johnson,Duke,2.0,92.0,1162.0,447.0,308.0,86.0,0.496,0.282,0.635,12.6,4.9,3.3,0.9,2.2,0.09,-0.2,0.5,Jalen-Johnson
1358,21,NYK,Keon Johnson,Tennessee,2.0,77.0,1113.0,456.0,125.0,135.0,0.362,0.343,0.739,14.5,5.9,1.6,1.8,-0.9,-0.041,-5.7,-1.0,Keon-Johnson
1359,22,LAL,Isaiah Jackson,Kentucky,2.0,99.0,1583.0,752.0,431.0,61.0,0.563,0.233,0.662,16.0,7.6,4.4,0.6,4.1,0.125,-1.0,0.4,Isaiah-Jackson
1361,24,HOU,Josh Christopher,Arizona State,2.0,138.0,2120.0,959.0,257.0,223.0,0.455,0.277,0.74,15.4,6.9,1.9,1.6,0.3,0.006,-3.8,-1.0,Josh-Christopher
1362,25,LAC,Quentin Grimes,Houston,2.0,117.0,2907.0,1074.0,323.0,194.0,0.45,0.384,0.778,24.8,9.2,2.8,1.7,6.2,0.102,-0.2,1.3,Quentin-Grimes
1363,26,DEN,Bones Hyland,VCU,2.0,125.0,2395.0,1357.0,323.0,363.0,0.401,0.368,0.85,19.2,10.9,2.6,2.9,3.8,0.076,-0.6,0.9,Bones-Hyland
1364,27,BRK,Cam Thomas,LSU,2.0,124.0,2124.0,1174.0,256.0,156.0,0.437,0.319,0.853,17.1,9.5,2.1,1.3,1.8,0.04,-3.1,-0.6,Cam-Thomas
1365,28,PHI,Jaden Springer,Tennessee,2.0,18.0,95.0,44.0,16.0,8.0,0.5,0.4,0.75,5.3,2.4,0.9,0.4,0.3,0.144,1.4,0.1,Jaden-Springer
1366,29,PHO,Day'Ron Sharpe,UNC,2.0,80.0,943.0,425.0,360.0,54.0,0.559,0.444,0.615,11.8,5.3,4.5,0.7,2.8,0.144,-2.5,-0.1,Day'Ron-Sharpe
1367,30,UTA,Santi Aldama,Loyola (MD),2.0,109.0,2042.0,828.0,458.0,118.0,0.457,0.318,0.727,18.7,7.6,4.2,1.1,4.9,0.115,-0.6,0.7,Santi-Aldama
1371,32,NYK,Jeremiah Robinson-Earl,Villanova,2.0,92.0,1901.0,658.0,454.0,92.0,0.427,0.344,0.781,20.7,7.2,4.9,1.0,3.4,0.085,-1.9,0.1,Jeremiah-Robinson-Earl
