,Player,College_Season,College,College_Games_Played,College_Games_Started,College_Field_Goals_Made_Per_Game,College_Field_Goals_Attempted_Per_Game,College_FG%,College_2PT_Field_Goals_Made_Per_Game,College_2PT_Field_Goals_Attempted_Per_Game,College_2PT_FG%,College_3PT_Field_Goals_Made_Per_Game,College_3PT_Field_Goals_Attempted_Per_Game,College_3PT_FG%,College_Free_Throws_Made_Per_Game,College_Free_Throws_Attempted_Per_Game,College_FT%,Offensive_Rebounds_pergame,Defensive_Rebounds_pergame,Total_Rebounds_pergame,Assists_pergame,Steals_pergame,Blocks_pergame,Turnovers_pergame,Fouls_pergame,Points_pergame,Team_strength_of_schedule
135,Tyler Bey,Career,Colorado,99,87,4.0,7.6,.530,3.8,7.0,.549,0.2,0.6,.305,3.0,4.1,.747,1.9,6.2,8.1,0.9,1.0,1.0,1.9,2.3,11.2,6.30
136,Saben Lee,Career,Vanderbilt,96,78,4.6,9.7,.471,3.7,7.0,.527,0.9,2.8,.328,3.9,5.4,.718,0.6,2.7,3.3,3.7,1.3,0.2,2.7,2.1,13.9,8.11
137,Elijah Hughes,,Syracuse,66,66,5.3,12.6,.424,2.8,5.6,.509,2.5,7.0,.356,3.1,3.9,.788,0.6,4.1,4.6,2.4,1.2,0.8,2.1,2.0,16.3,
138,Tre Jones,Career,Duke,65,65,4.5,10.8,.419,3.5,7.6,.464,1.0,3.2,.313,2.4,3.1,.767,0.8,3.2,4.0,5.8,1.8,0.2,2.0,1.6,12.4,9.99
139,Jordan Nwora,Career,Louisville,93,59,4.7,10.6,.445,2.8,5.7,.489,1.9,4.9,.394,2.6,3.3,.785,1.2,4.9,6.0,1.0,0.8,0.2,1.8,1.9,13.9,9.22
140,CJ Elleby,Career,Washington State,64,60,5.7,13.8,.413,3.7,8.4,.443,2.0,5.4,.367,3.2,4.2,.749,1.4,6.1,7.5,2.4,1.4,0.7,2.6,2.8,16.6,3.57
141,Nico Mannion,Career,Arizona,32,32,4.5,11.5,.392,2.8,6.4,.444,1.7,5.1,.327,3.3,4.2,.797,0.3,2.3,2.5,5.3,1.2,0.0,2.6,1.7,14.0,8.40
142,Isaiah Joe,Career,Arkansas,60,59,4.7,12.0,.390,1.2,2.8,.429,3.5,9.1,.378,2.4,2.9,.827,0.6,2.8,3.4,1.7,1.5,0.2,1.5,1.9,15.2,8.02
143,Skylar Mays,Career,LSU,130,121,4.0,9.0,.445,2.7,5.1,.520,1.3,3.9,.345,3.1,3.7,.845,0.5,3.1,3.6,2.9,1.6,0.2,1.8,1.7,12.4,8.27
144,Justinian Jessup,Career,Boise State,129,120,4.2,9.7,.432,1.7,3.6,.474,2.5,6.2,.408,1.3,1.6,.831,0.6,3.6,4.1,2.0,1.2,0.5,1.3,2.1,12.3,2.81
145,Cassius Winston,Career,Michigan State,139,108,4.7,10.1,.461,2.8,5.8,.484,1.9,4.3,.430,3.0,3.5,.845,0.2,2.5,2.7,6.4,0.9,0.1,2.7,2.0,14.2,10.17
146,Cassius Stanley,Career,Duke,29,29,4.4,9.3,.474,3.3,6.3,.527,1.1,3.0,.360,2.7,3.6,.733,1.9,3.0,4.9,1.0,0.7,0.7,1.9,2.2,12.6,8.00
147,Grant Riller,Career,College of Charleston,132,123,6.7,12.8,.519,5.3,8.9,.593,1.4,4.0,.356,4.0,5.0,.796,0.5,2.8,3.3,2.8,1.3,0.3,2.2,1.9,18.7,-1.82
148,Paul Reed,Career,ETSU,7,0,0.3,0.9,.333,0.3,0.9,.333,0.0,0.0,,0.0,0.4,.000,0.1,0.6,0.7,0.0,0.0,0.3,0.1,0.7,0.6,-6.14
149,Jalen Harris,Career,Army,13,2,0.5,1.8,.250,0.2,1.0,.154,0.3,0.8,.364,0.5,0.8,.600,0.0,0.5,0.5,1.2,0.5,0.0,1.3,1.1,1.7,-7.16
150,Sam Merrill,Career,Utah State,131,118,5.5,11.6,.470,3.0,5.8,.520,2.4,5.8,.420,3.4,3.8,.891,0.3,3.3,3.6,3.6,1.0,0.2,1.6,2.4,16.8,2.51
151,Cade Cunningham,Career,Oklahoma State,27,26,6.5,14.8,.438,4.2,9.1,.461,2.3,5.7,.400,4.9,5.8,.846,0.7,5.5,6.2,3.5,1.6,0.8,4.0,2.5,20.1,9.78
152,Evan Mobley,Career,USC,33,33,6.0,10.3,.578,5.6,9.1,.615,0.4,1.2,.300,4.1,5.8,.694,2.7,5.9,8.7,2.4,0.8,2.9,2.2,1.8,16.4,10.65
153,Scottie Barnes,Career,Florida State,24,7,4.1,8.1,.503,3.6,6.5,.561,0.5,1.7,.275,1.7,2.8,.621,1.5,2.5,4.0,4.1,1.5,0.5,2.5,2.2,10.3,9.16
154,Jalen Suggs,Career,Gonzaga,30,30,5.2,10.3,.503,4.0,6.8,.588,1.2,3.5,.337,2.9,3.8,.754,0.6,4.7,5.3,4.5,1.9,0.3,2.9,2.6,14.4,5.92
155,Franz Wagner,Career,Michigan,55,55,4.3,9.3,.465,2.9,5.0,.583,1.4,4.3,.325,2.0,2.4,.835,0.8,5.3,6.1,2.0,1.3,0.8,1.4,2.4,12.0,11.21
156,Davion Mitchell,,Baylor,60,60,4.4,9.4,.465,2.8,5.3,.519,1.6,4.1,.394,1.6,2.4,.653,0.4,2.3,2.7,4.7,1.7,0.4,2.3,2.6,12.0,
157,Ziaire Williams,Career,Stanford,20,14,3.8,10.2,.374,2.7,6.2,.427,1.2,4.0,.291,2.0,2.5,.796,0.5,4.1,4.6,2.2,0.9,0.6,2.9,2.4,10.7,10.01
158,James Bouknight,Career,UConn,43,30,5.3,11.5,.456,4.2,8.1,.513,1.1,3.4,.320,3.4,4.2,.802,1.6,3.1,4.7,1.5,0.9,0.2,2.1,2.4,15.0,6.97
159,Joshua Primo,Career,Alabama,30,19,2.8,6.5,.431,1.4,2.7,.500,1.4,3.8,.381,1.1,1.5,.750,1.0,2.3,3.4,0.8,0.6,0.3,1.4,1.7,8.1,10.01
